,ticker,security,outlook,rating,use,trust,upward_trend,outlook_date,revenue,rev_change_percent,profit ,profit_change_percent,assets,market_value,sector_y,industry_y,webscrape_date,net_income,ft_employee,div_yield,three_year,five_year,ten_year,alcohol,adult,gambling,tobacco,controversial_weapons,small_arms,military_contracting,coal,net_per_emp
17,8035.T,Tokyo Electron Limited,,,,,,,,,,,,,Technology,Semiconductor Equipment & Materials,9/12/20,,13837.0,2.77,,,,,,,,,,,,
18,9020.T,East Japan Railway Company,,,,,,,,,,,,,Industrials,Railroads,9/12/20,,71812.0,2.31,,,,,,,,,,,,
19,9983.T,Fast Retailing Co,,,,,,,,,,,,,Consumer Cyclical,Apparel Retail,9/12/20,,56523.0,0.71,,,,,,,,,,,,
20,A,Agilent Technologies,79.0,,,,,8/4/18,,,,,,,Healthcare,Diagnostics & Research,9/12/20,,16300.0,0.73,14.94,23.02,15.04,,,,,,,,,
21,AA,Alcoa,,,,,,,13403000000.0,0.15,227000000.0,0.046,15938000000.0,5224100000,Basic Materials,Aluminum,9/12/20,,13800.0,0.0,-31.56,,,,,,,,,,,
22,AAGIY,AIA Group,,,,,,,,,,,,,Financial Services,Insurance—Life,9/12/20,,23000.0,0.88,12.1,14.73,,,,,,,,,,
23,AAL,American Airlines Group,61.0,,,,,8/4/18,44541000000.0,0.055,1412000000.0,-0.264,60580000000.0,14262000000,Industrials,Airlines,9/12/20,,107400.0,3.08,-32.75,-18.94,-0.68,,,,,,,,,
24,AAL.L,Anglo American plc,,,,,,,,,,,,,Basic Materials,Other Industrial Metals & Mining,9/12/20,,63000.0,3.14,,,,,,,,,,,,
25,AAP,Advance Auto Parts,34.0,,,,,8/4/18,9580600000.0,0.022,423800000.0,-0.109,9040600000.0,12221900000,Consumer Cyclical,Specialty Retail,9/12/20,,39000.0,0.65,18.15,-2.23,10.87,,,,,,,,,
26,AAPL,Apple,70.0,,,,yes,8/4/18,266000000000.0,0.159,59531000000.0,0.231,366000000000.0,8.96E+11,Technology,Consumer Electronics,9/12/20,,137000.0,0.72,41.43,32.22,28.65,,,,,,,,,
27,AB,AllianceBernstein,,,,,,,,,,,,,Financial Services,Asset Management,9/12/20,,3811.0,9.09,14.06,8.07,6.27,,,,,,,,,
28,ABBV,AbbVie,66.0,,,,yes,8/4/18,32753000000.0,0.161,5687000000.0,0.071,59352000000.0,1.19E+11,Healthcare,Drug Manufacturers—General,9/12/20,,47000.0,5.26,5.36,12.4,,,,,,,,,,
