ticker,security,outlook,rating,use,trust,upward_trend,outlook_date,sector,industry
CBS,CBS,52,,0,0,,8/4/18,Consumer Cyclical,Media - Diversified
LYV,Live Nation Entertainment,64,,0,0,,8/4/18,Consumer Cyclical,Media - Diversified
NFLX,Netflix,77,4,0,0,yes,11/3/20,Consumer Cyclical,Media - Diversified
CYH,Community Health Systems,,,,,,,Healthcare,Medical Care
EVHC,Envision Healthcare,29,,1,0,,8/4/18,Healthcare,Medical Care
MD,"MEDNAX, Inc.",,,,,,,Healthcare,Medical Care
SSY,Sysco,,,,,,,Healthcare,Medical Care
THC,Tenet Healthcare,,,,,,,Healthcare,Medical Care
ABMD,Abiomed Inc,,,,,,,Healthcare,Medical Devices
ALGN,AlignTech (Invisalign),84,4.4,0,0,yes,11/3/20,Healthcare,Medical Devices
ARAY,Accuray Incorporated,,,,,,,Healthcare,Medical Devices
HOLX,Hologic,62,,1,0,yes,8/4/18,Healthcare,Medical Instruments & Supplies
ISRG,Intuitive Surgical,94,,1,0,yes,8/4/18,Healthcare,Medical Instruments & Supplies
VAR,Varian Medical Systems,60,,1,0,,8/4/18,Healthcare,Medical Instruments & Supplies
AAL.L,Anglo American plc,,,,,,,Basic Materials,Other Industrial Metals & Mining
DF,Dean Foods,,,,,,,Consumer Defensive,Packaged Foods
HLF,Herbalife Nutrition Ltd.,,,,,,,Consumer Defensive,Packaged Foods
POST,Post Holdings,39,2.7,,,,9/8/19,Consumer Defensive,Packaged Foods
THS,TreeHouse Foods,,,,,,,Consumer Defensive,Packaged Foods
BERY,Berry Global Group,,,,,,,Consumer Cyclical,Packaging & Containers
CCK,Crown Holdings,57,,1,0,,8/4/18,Consumer Cyclical,Packaging & Containers
TUP,Tupperware Brands Corporation,,,,,,,Consumer Cyclical,Packaging & Containers
ROKU,"Roku, Inc.",,,,,maybe,,Communication Services,Pay TV
GNC,GNC Holdings,26,,1,0,,8/4/18,Consumer Defensive,Pharmaceutical Retailers
RAD,Rite Aid,,,,,,,Consumer Defensive,Pharmaceutical Retailers
XL,XL Catlin,53,,1,0,,8/4/18,Financials,Property & Casualty Insurance
RLGY,Realogy Holdings,,,,,,,Real Estate,Real Estate Services
ZG,"Zillow Group, Inc.",,,,,maybe,,Real Estate,Real Estate Services
IRM,Iron Mountain,41,,1,0,,8/4/18,Real Estate,REIT - Diversified
NVR,NVR,,,,,,,Consumer Cyclical,Residential Construction
ITRI,Itron,48,,1,0,,8/4/18,Technology,Scientific & Technical Instruments
KEYS,"Keysight Technologies, Inc.",68,3.8,,,,9/8/19,Technology,Scientific & Technical Instruments
ST,Sensata Technologies Holding plc,31,3.2,,,,9/8/19,Technology,Scientific & Technical Instruments
AKAM,Akamai Technologies,51,,,0,,8/4/18,Technology,Software - Application
CRM,salesforce.com,84,,0,0,yes,8/4/18,Technology,Software - Application
DOMO,Domo,,,,,too early,,Technology,Software - Application
LYFT,Lyft,,,0,0,too early,,Technology,Software - Application
PANW,"Palo Alto Networks, Inc.",,,,,maybe,,Technology,Software - Application
PD,Pagerduty,,,1,0,,,Technology,Software - Application
STNE,StoneCo,,,,,,,Technology,Software - Application
SYMC,Symantec,48,,0,0,,8/4/18,Technology,Software - Application
TIVO,TiVo Corporation,,,,,,,Technology,Software - Application
TTD,"The Trade Desk, Inc.",86,3.7,,,maybe,11/3/20,Technology,Software - Application
UBER,Uber,,,1,0,too early,,Technology,Software - Application
WDAY,Workday,,,0,0,maybe,,Technology,Software - Application
BKI,Black Knight,,,1,0,,8/4/18,Technology,Software - Infrastructure
