ticker,webscrape_date,net_income,ft_employee,div_yield,one_year,three_year,five_year,ten_year,fifteen_year,rd,peg,profit_margin,roa,roe
NVGS,1/1/21,-7,nan,—,-18.71,3.59,-4.31,7.46,—,—,0,-2.06,-0.36,-0.7
NVR,1/1/21,852,nan,—,7.13,5.16,19.95,19.43,12.45,—,0,11.85,18.25,32.22
OBSV,1/1/21,-85,nan,—,-45.55,-40.27,—,—,—,70,0,nan,nan,nan
OKTA,1/1/21,-241,nan,—,120.39,114.93,—,—,—,204,254.3,-31.38,-9.56,-44.67
OPK,1/1/21,-114,nan,—,168.71,-6.93,-17.04,0.74,16.3,81,0,-9.79,-4.81,-6.99
ORLY,1/1/21,1684,nan,—,3.27,23.45,12.3,22.31,19.31,—,1.2,14.96,14.72,384.78
OSTK,1/1/21,16,nan,—,580.43,-9.12,31.39,11.3,3.63,—,0,0.57,2.05,5.51
PAGS,1/1/21,1308,nan,—,66.51,—,—,—,—,—,0,21.16,8.27,15.84
PANW,1/1/21,-300,nan,—,53.68,34.85,15.07,—,—,835,3,-8.36,-3.85,-26.47
PAYC,1/1/21,164,nan,—,70.82,77.9,64.43,—,—,83,4.6,20.2,8.07,29.7
PBYI,1/1/21,-56,nan,—,17.26,-53,-33.42,—,—,104,0,-23.87,-22.77,-671.97
PCG,1/1/21,-5121,nan,—,14.63,-34.74,-21.42,-6.27,-0.81,—,0,-27.81,-5.66,-34.75
PD,1/1/21,-57,nan,—,78.28,—,—,—,—,61,0,-28.57,-9.55,-16.85
PENN,1/1/21,-773,nan,—,237.91,40.22,40.07,14.11,9.67,—,0,-19.86,-5.31,-33.98
PFGC,1/1/21,-151,nan,—,-7.52,12.88,15.52,—,—,—,0.9,-0.58,-2.17,-9
PIR,1/1/21,19263,nan,nan,nan,nan,nan,nan,nan,—,1.5,3.51,1.62,10.55
PLNT,1/1/21,6,nan,—,3.95,30.88,38.76,—,—,—,0,nan,nan,nan
PLUG,1/1/21,-104,nan,—,973.1,143.11,74.26,24.77,-2.72,41,0,-33.76,-10.1,-34.43A,nan,nan,04/17/21,810,nan,0.58,71.85,26.04,27.45,12.48,10.11,494,2.7,14.65,8.45,16.78
AAPL,nan,nan,04/17/21,63930,nan,0.67,88.33,45.89,38.05,28.12,31.20,19464,3.0,21.73,18.41,82.09
ABT,nan,nan,04/17/21,4495,nan,1.28,31.22,29.44,24.66,12.60,10.17,2420,3.1,12.99,6.4,14.08
ADBE,nan,nan,04/17/21,5566,nan,nan,53.22,32.34,40.72,31.29,19.31,2276,2.7,40.68,24.1,46.36
AMGN,nan,nan,04/17/21,7264,nan,2.64,13.59,16.88,12.03,18.10,10.01,4207,1.8,28.57,11.84,76.13
BLK,nan,nan,04/17/21,4932,nan,1.99,80.06,17.55,19.51,16.73,13.24,—,2.9,30.44,2.85,14.33
CLX,nan,nan,04/17/21,1225,nan,2.28,-0.70,16.70,10.54,12.30,9.47,153,3.4,16.28,19.9,140.89
DXCM,nan,nan,04/17/21,494,nan,nan,30.61,76.25,43.04,37.97,21.95,360,11.9,25.62,14.77,36.44
HD,nan,nan,04/17/21,12866,nan,2.01,67.24,25.44,21.05,25.14,15.64,—,3.6,nan,nan,nan
HSY,nan,nan,04/17/21,1279,nan,2.01,12.87,20.66,13.36,12.39,9.22,—,5.1,15.69,14.81,64.36
JNJ,nan,nan,04/17/21,14714,nan,2.46,11.10,9.64,10.34,12.31,8.70,12159,1.8,17.82,8.85,23.97
JPM,nan,nan,04/17/21,29131,nan,2.36,79.66,14.02,22.04,14.55,10.13,—,2.5,22.93,0.9,11.34
KMB,nan,nan,04/17/21,2352,nan,3.13,2.75,12.42,3.15,10.52,8.33,—,5.1,12.29,14.34,793.25
LRCX,nan,nan,04/17/21,2964,nan,0.85,139.65,47.84,51.94,29.01,19.34,1377,1.3,24.85,21.73,59.72
MSFT,nan,nan,04/17/21,51310,nan,0.91,48.49,41.46,37.11,26.90,16.78,19926,2.4,33.47,17.48,42.7
NKE,nan,nan,04/17/21,3428,nan,0.78,56.84,26.92,18.42,21.75,19.03,—,1.6,8.9,10.99,32.69
NVDA,nan,nan,04/17/21,4332,nan,0.12,116.20,40.23,76.69,42.38,26.11,3924,3.9,25.98,18.79,29.78
PEP,nan,nan,04/17/21,7496,nan,2.89,9.30,12.33,9.32,9.99,7.94,—,3.3,10.51,8.5,54.69
PG,nan,nan,04/17/21,13848,nan,2.34,15.57,23.00,12.91,9.81,7.67,—,3.6,18.36,11.72,29.55
PYPL,nan,nan,04/17/21,4202,nan,nan,149.16,51.38,47.56,nan,nan,—,2.7,19.59,6.9,22.77
SQ,nan,nan,04/17/21,213,nan,nan,346.79,75.93,78.01,nan,nan,882,5.6,2.24,2.96,9.69
TSLA,nan,nan,04/17/21,690,nan,nan,396.36,133.32,70.79,64.44,nan,1491,4.6,2.19,1.6,4.78
